108	dingir-re-ne	OTHER
108	{d}ig-alim	OTHER
108	bar-ta	OTHER
108	a-gesztin-na	OTHER
107	ur-zu	PN
107	mu-un-na-an-e3-a	OTHER
107	la-ni-mu	PN
107	lagasz{ki}	GN
107	ha-la-sza	PN
107	am	OTHER
106	szesz-sag10	PN
106	sag-du3	PN
106	kilib	OTHER
106	kilib-ba	OTHER
106	inim-{d}inanna	PN
106	didli-me	OTHER
106	an-na-hi-li-bi	PN
106	ad-kup4-me	OTHER
106	6(asz@t)-kam	OTHER
105	ur	OTHER
105	ur-{d}nin-su	PN
105	i7-da	OTHER
105	a-na	OTHER
105	a-bi2-si2-im-ti	PN
105	4(bur'u)	OTHER
104	u2-tir	OTHER
104	lugal-nir-gal2	PN
104	lu2-{d}szul-gi-ra	PN
104	ba-na-gi-in	OTHER
103	ur-gu	PN
103	ur-{d}gilgamesx(|BIL3.GA.MES|)	PN
103	sig4-{gesz}i3-szub-ba-gar	OTHER
103	lugal-ka	PN
103	lugal-amar-ku3	PN
103	i-di3-er3-ra	PN
103	ib2-ra	OTHER
103	huz-za	OTHER
103	amar-{d}suen	OTHER
102	ur-ru-ta	PN
102	tug2-du8	OTHER
102	|PU3.SZA|-{d}en-lil2-ta	PN
102	numun-sze3	OTHER
102	lugal-igi-husz	PN
102	lugal-amar-ku3-ta	PN
102	{d}szul-gi-si2-im-ti	PN
102	an-nu-ni-tum	PN
102	ama	OTHER
102	2(u)-sze3	OTHER
101	x-a	OTHER
101	uku2-nu-ti	PN
101	szu-numun-na	OTHER
101	sze-il2-la-sze3	OTHER
101	lukur	OTHER
101	lu2-{d}gesz-bar-e3	PN
101	kun-zi	OTHER
101	in-sa6-sa6	PN
101	ensi2-ta	OTHER
101	dingir-ra-bi2	PN
101	ar3-ra	OTHER
101	a2-bi2-li2	PN
100	ur-li	PN
100	lu2-igi-sa6-sa6-ta	PN
100	lu2-{d}nin-gir2-su-ta	PN
100	lu2-bi-mu	PN
100	kal-la	PN
100	e2-a-na	OTHER
70056	1(disz)	OTHER
41424	mu	OTHER
39729	sila3	OTHER
39075	2(disz)	OTHER
36002	…	OTHER
35893	1(u)	OTHER
34139	iti	OTHER
29478	ki	OTHER
29242	5(disz)	OTHER
26910	gur	OTHER
26668	x	OTHER
26344	u4	OTHER
26310	udu	OTHER
23978	dumu	OTHER
23342	3(disz)	OTHER
19425	2(u)	OTHER
